date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:41:43	7130/7130	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Oct%202016%2010:42:48%20GMT	http://www.mavala.in/home/2016_mavala_purskar/10small.jpg	C:/Users/phoenix%20computer/Desktop/setu%20code%20html/New%20folder%20(2)/mayur2/www.mavala.in/home/2016_mavala_purskar/10small.jpg	(from http://www.mavala.in/home/2016_mavala_purskar.html)
15:41:45	115204/115204	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Oct%202016%2010:42:50%20GMT	http://www.mavala.in/home/2016_mavala_purskar/08.jpg	C:/Users/phoenix%20computer/Desktop/setu%20code%20html/New%20folder%20(2)/mayur2/www.mavala.in/home/2016_mavala_purskar/08.jpg	(from http://www.mavala.in/home/2016_mavala_purskar.html)
15:41:46	109681/109681	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Oct%202016%2010:42:48%20GMT	http://www.mavala.in/home/2016_mavala_purskar/09.jpg	C:/Users/phoenix%20computer/Desktop/setu%20code%20html/New%20folder%20(2)/mayur2/www.mavala.in/home/2016_mavala_purskar/09.jpg	(from http://www.mavala.in/home/2016_mavala_purskar.html)
15:41:46	7094/7094	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Oct%202016%2010:42:48%20GMT	http://www.mavala.in/home/2016_mavala_purskar/11small.jpg	C:/Users/phoenix%20computer/Desktop/setu%20code%20html/New%20folder%20(2)/mayur2/www.mavala.in/home/2016_mavala_purskar/11small.jpg	(from http://www.mavala.in/home/2016_mavala_purskar.html)
15:41:48	7917/7917	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Oct%202016%2010:42:46%20GMT	http://www.mavala.in/home/2016_mavala_purskar/12small.jpg	C:/Users/phoenix%20computer/Desktop/setu%20code%20html/New%20folder%20(2)/mayur2/www.mavala.in/home/2016_mavala_purskar/12small.jpg	(from http://www.mavala.in/home/2016_mavala_purskar.html)
15:41:49	109581/109581	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Oct%202016%2010:42:48%20GMT	http://www.mavala.in/home/2016_mavala_purskar/10.jpg	C:/Users/phoenix%20computer/Desktop/setu%20code%20html/New%20folder%20(2)/mayur2/www.mavala.in/home/2016_mavala_purskar/10.jpg	(from http://www.mavala.in/home/2016_mavala_purskar.html)
15:41:51	7278/7278	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Oct%202016%2010:42:46%20GMT	http://www.mavala.in/home/2016_mavala_purskar/13small.jpg	C:/Users/phoenix%20computer/Desktop/setu%20code%20html/New%20folder%20(2)/mayur2/www.mavala.in/home/2016_mavala_purskar/13small.jpg	(from http://www.mavala.in/home/2016_mavala_purskar.html)
15:41:58	99510/99510	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Oct%202016%2010:42:46%20GMT	http://www.mavala.in/home/2016_mavala_purskar/11.jpg	C:/Users/phoenix%20computer/Desktop/setu%20code%20html/New%20folder%20(2)/mayur2/www.mavala.in/home/2016_mavala_purskar/11.jpg	(from http://www.mavala.in/home/2016_mavala_purskar.html)
15:42:00	8009/8009	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Oct%202016%2010:42:44%20GMT	http://www.mavala.in/home/2016_mavala_purskar/14small.jpg	C:/Users/phoenix%20computer/Desktop/setu%20code%20html/New%20folder%20(2)/mayur2/www.mavala.in/home/2016_mavala_purskar/14small.jpg	(from http://www.mavala.in/home/2016_mavala_purskar.html)
15:42:02	87375/87375	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Oct%202016%2010:42:44%20GMT	http://www.mavala.in/home/2016_mavala_purskar/13.jpg	C:/Users/phoenix%20computer/Desktop/setu%20code%20html/New%20folder%20(2)/mayur2/www.mavala.in/home/2016_mavala_purskar/13.jpg	(from http://www.mavala.in/home/2016_mavala_purskar.html)
15:42:04	7447/7447	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Oct%202016%2010:43:02%20GMT	http://www.mavala.in/home/2016_mavala_purskar/15small.jpg	C:/Users/phoenix%20computer/Desktop/setu%20code%20html/New%20folder%20(2)/mayur2/www.mavala.in/home/2016_mavala_purskar/15small.jpg	(from http://www.mavala.in/home/2016_mavala_purskar.html)
15:42:04	116077/116077	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Oct%202016%2010:42:46%20GMT	http://www.mavala.in/home/2016_mavala_purskar/12.jpg	C:/Users/phoenix%20computer/Desktop/setu%20code%20html/New%20folder%20(2)/mayur2/www.mavala.in/home/2016_mavala_purskar/12.jpg	(from http://www.mavala.in/home/2016_mavala_purskar.html)
15:42:06	7453/7453	---M--	200	added ('OK')	image/jpeg	date:Sat,%2008%20Oct%202016%2007:01:08%20GMT	http://www.mavala.in/home/2016_varkari_madat/01small.jpg	C:/Users/phoenix%20computer/Desktop/setu%20code%20html/New%20folder%20(2)/mayur2/www.mavala.in/home/2016_varkari_madat/01small.jpg	(from http://www.mavala.in/home/2016_varkari_madat.html)
15:42:10	122755/122755	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Oct%202016%2010:42:44%20GMT	http://www.mavala.in/home/2016_mavala_purskar/14.jpg	C:/Users/phoenix%20computer/Desktop/setu%20code%20html/New%20folder%20(2)/mayur2/www.mavala.in/home/2016_mavala_purskar/14.jpg	(from http://www.mavala.in/home/2016_mavala_purskar.html)
